preference_model,pricing_model,n_items,gamma,delta,K,alpha,lambda_,total_revenue,avg_revenue_per_user,utility_gap,revenue_gap,exposure_gap,exposure_random_gap,minority_exposure,price_error_minority,price_error_all
gaussian,fixed,50,0.0,0.95,1,0.9,0.1,162.75,0.5425,-0.13262264299748983,-0.1936363636363636,0.026666666666666644,0.12666666666666665,0.07333333333333333,,
gaussian,fixed,50,0.0,0.95,1,0.9,0.25,163.5,0.545,-0.1301497479116027,-0.19090909090909092,0.023333333333333317,0.12333333333333332,0.07666666666666666,,
gaussian,fixed,50,0.0,0.95,3,0.9,0.1,216.0,0.72,0.3432675297371229,0.1440904096688117,-0.05777777777777782,0.04222222222222219,0.1577777777777778,,
gaussian,fixed,50,0.0,0.95,3,0.9,0.25,216.75,0.7225,0.2834285288918916,0.10597826086956519,-0.02888888888888891,0.0711111111111111,0.1288888888888889,,
gaussian,fixed,50,0.0,0.99,1,0.9,0.1,162.75,0.5425,-0.13262264299748983,-0.1936363636363636,0.026666666666666644,0.12666666666666665,0.07333333333333333,,
gaussian,fixed,50,0.0,0.99,1,0.9,0.25,193.5,0.645,-0.11955171351828703,-0.08181818181818179,-0.6266666666666667,-0.5266666666666667,0.7266666666666667,,
gaussian,fixed,50,0.0,0.99,3,0.9,0.1,216.75,0.7225,0.2825566820412548,0.08784138655462181,-0.033333333333333354,0.06666666666666665,0.13333333333333333,,
gaussian,fixed,50,0.0,0.99,3,0.9,0.25,219.0,0.73,0.13955774672512106,0.01090909090909098,-0.011111111111111113,0.08888888888888889,0.11111111111111109,,
gaussian,fixed,50,0.3,0.95,1,0.9,0.1,161.25,0.5375,-0.059912006946526986,-0.06818181818181812,-0.6333333333333333,-0.5333333333333333,0.7333333333333333,,
gaussian,fixed,50,0.3,0.95,1,0.9,0.25,124.5,0.415,0.0455087707922378,0.15818181818181815,0.026666666666666644,0.12666666666666665,0.07333333333333333,,
gaussian,fixed,50,0.3,0.95,3,0.9,0.1,198.0,0.66,0.08429934859840876,0.22909090909090907,-0.04555555555555557,0.054444444444444434,0.14555555555555555,,
gaussian,fixed,50,0.3,0.95,3,0.9,0.25,202.5,0.675,0.11231958569502293,0.15919174961026505,-0.02444444444444445,0.07555555555555556,0.12444444444444443,,
gaussian,fixed,50,0.3,0.99,1,0.9,0.1,162.75,0.5425,-0.058347012038223484,-0.06272727272727274,-0.64,-0.54,0.74,,
gaussian,fixed,50,0.3,0.99,1,0.9,0.25,124.5,0.415,0.0455087707922378,0.15818181818181815,0.026666666666666644,0.12666666666666665,0.07333333333333333,,
gaussian,fixed,50,0.3,0.99,3,0.9,0.1,198.0,0.66,0.1467656549728264,0.34388130252100846,-0.028888888888888936,0.07111111111111107,0.12888888888888891,,
gaussian,fixed,50,0.3,0.99,3,0.9,0.25,198.75,0.6625,0.1573200949024369,0.3311965811965812,-0.02555555555555558,0.07444444444444442,0.12555555555555556,,
gaussian,fixed,50,0.7,0.95,1,0.9,0.1,144.0,0.48,-0.03681933457072323,-0.06545454545454549,0.026666666666666644,0.12666666666666665,0.07333333333333333,,
gaussian,fixed,50,0.7,0.95,1,0.9,0.25,117.75,0.3925,-0.03663250286044617,-0.06272727272727274,0.01666666666666665,0.11666666666666665,0.08333333333333333,,
gaussian,fixed,50,0.7,0.95,3,0.9,0.1,148.5,0.495,0.017262647829551392,-0.04377880184331795,-0.04777777777777778,0.052222222222222225,0.14777777777777776,,
gaussian,fixed,50,0.7,0.95,3,0.9,0.25,148.5,0.495,0.017262647829551392,-0.04377880184331795,-0.04999999999999999,0.05000000000000002,0.14999999999999997,,
gaussian,fixed,50,0.7,0.99,1,0.9,0.1,144.0,0.48,-0.03681933457072323,-0.06545454545454549,0.026666666666666644,0.12666666666666665,0.07333333333333333,,
gaussian,fixed,50,0.7,0.99,1,0.9,0.25,144.0,0.48,-0.03681933457072323,-0.06545454545454549,0.026666666666666644,0.12666666666666665,0.07333333333333333,,
gaussian,fixed,50,0.7,0.99,3,0.9,0.1,148.5,0.495,0.017262647829551392,-0.04377880184331795,-0.04777777777777778,0.052222222222222225,0.14777777777777776,,
gaussian,fixed,50,0.7,0.99,3,0.9,0.25,148.5,0.495,0.017262647829551392,-0.04377880184331795,-0.04777777777777778,0.052222222222222225,0.14777777777777776,,
gaussian,mle,50,0.0,0.95,1,0.9,0.1,166.48400000000004,0.5549466666666668,0.39973941398901214,0.5330690623245368,0.043333333333333314,0.1433333333333333,0.056666666666666664,0.7287,0.8116800000000002
gaussian,mle,50,0.0,0.95,1,0.9,0.25,226.818,0.7560600000000001,-0.06209961511338205,0.007266704098820909,-0.61,-0.51,0.71,0.7287,0.8141800000000002
gaussian,mle,50,0.0,0.95,3,0.9,0.1,151.54600000000005,0.5051533333333335,0.0619645654290118,0.001704460333673774,-0.06333333333333335,0.03666666666666665,0.16333333333333333,0.6784,0.8103999999999999
gaussian,mle,50,0.0,0.95,3,0.9,0.25,171.567,0.57189,0.14858010482953404,0.07345781438328647,-0.014444444444444454,0.08555555555555555,0.11444444444444443,0.779,0.90464
gaussian,mle,50,0.0,0.99,1,0.9,0.1,166.48400000000004,0.5549466666666668,0.39973941398901214,0.5330690623245368,0.043333333333333314,0.1433333333333333,0.056666666666666664,0.7287,0.8116800000000002
gaussian,mle,50,0.0,0.99,1,0.9,0.25,166.48400000000004,0.5549466666666668,0.39973941398901214,0.5330690623245368,0.043333333333333314,0.1433333333333333,0.056666666666666664,0.7287,0.8116800000000002
gaussian,mle,50,0.0,0.99,3,0.9,0.1,155.80900000000003,0.5193633333333334,0.029405759652803842,-0.0015445985494337844,-0.05888888888888888,0.041111111111111126,0.15888888888888886,1.0175,1.0428199999999999
