item,oracle_price,mle_price,item_type,abs_price_error
0,0.678,0.364,Other items,0.31400000000000006
1,0.301,2.312,Minority-preferred,2.0109999999999997
2,0.615,0.427,Other items,0.188
3,0.615,1.997,Other items,1.3820000000000001
4,0.176,2.5,Other items,2.324
5,0.238,2.123,Other items,1.8850000000000002
6,0.427,0.364,Other items,0.063
7,0.364,1.935,Other items,1.5710000000000002
8,0.427,2.249,Minority-preferred,1.822
9,0.238,1.495,Other items,1.2570000000000001
10,0.553,0.301,Other items,0.25200000000000006
11,0.553,2.374,Other items,1.8210000000000002
12,0.427,0.427,Other items,0.0
13,0.615,0.678,Other items,0.06300000000000006
14,0.49,0.992,Other items,0.502
15,0.238,1.746,Other items,1.508
16,0.49,0.301,Other items,0.189
17,0.238,0.992,Other items,0.754
18,0.553,0.05,Minority-preferred,0.503
19,0.364,1.621,Other items,1.2570000000000001
20,0.364,0.238,Other items,0.126
21,0.301,1.244,Other items,0.9430000000000001
22,0.615,1.369,Other items,0.754
23,0.364,1.621,Minority-preferred,1.2570000000000001
24,0.301,2.186,Other items,1.885
25,0.364,1.621,Other items,1.2570000000000001
26,0.49,1.683,Minority-preferred,1.193
27,0.49,1.746,Other items,1.256
28,0.49,1.683,Other items,1.193
29,0.49,0.867,Other items,0.377
30,0.867,1.118,Other items,0.2510000000000001
31,0.301,1.935,Other items,1.6340000000000001
32,0.301,1.369,Other items,1.068
33,0.238,2.123,Other items,1.8850000000000002
34,0.49,2.06,Other items,1.57
35,0.615,0.804,Other items,0.18900000000000006
36,0.364,1.244,Other items,0.88
37,0.238,1.495,Other items,1.2570000000000001
38,0.238,1.935,Minority-preferred,1.697
39,0.553,1.872,Minority-preferred,1.319
40,0.553,1.872,Other items,1.319
41,0.49,1.997,Other items,1.5070000000000001
42,0.301,2.374,Other items,2.073
43,0.427,1.935,Other items,1.508
44,0.427,2.374,Other items,1.947
45,0.427,2.06,Other items,1.633
46,0.553,2.249,Other items,1.6960000000000002
47,0.427,2.312,Other items,1.8849999999999998
48,0.553,0.301,Other items,0.25200000000000006
49,0.427,0.49,Other items,0.063
50,0.427,1.809,Other items,1.382
51,0.49,2.249,Other items,1.7590000000000001
52,0.176,1.055,Other items,0.879
53,0.301,0.867,Other items,0.5660000000000001
54,0.301,2.437,Other items,2.1359999999999997
55,0.301,1.495,Minority-preferred,1.1940000000000002
56,0.364,0.176,Other items,0.188
57,0.678,2.437,Other items,1.759
58,0.238,0.113,Other items,0.12499999999999999
59,0.615,0.238,Other items,0.377
60,0.176,1.935,Other items,1.7590000000000001
61,0.301,2.437,Other items,2.1359999999999997
62,0.427,1.935,Minority-preferred,1.508
63,0.49,1.055,Other items,0.565
64,0.553,2.249,Other items,1.6960000000000002
65,0.553,0.867,Other items,0.31399999999999995
66,0.364,0.238,Minority-preferred,0.126
67,0.301,1.746,Other items,1.445
68,0.553,0.553,Other items,0.0
69,0.364,0.238,Other items,0.126
70,0.176,2.5,Other items,2.324
71,0.238,2.123,Other items,1.8850000000000002
72,0.238,0.678,Other items,0.44000000000000006
73,0.49,2.123,Other items,1.6330000000000002
74,0.427,1.997,Other items,1.57
75,0.49,0.867,Other items,0.377
76,0.301,2.374,Minority-preferred,2.073
77,0.427,2.186,Other items,1.759
78,0.49,0.301,Other items,0.189
79,0.364,1.495,Other items,1.1310000000000002
80,0.49,0.867,Minority-preferred,0.377
81,0.301,1.055,Other items,0.754
82,0.301,2.249,Other items,1.9480000000000002
83,0.364,1.306,Minority-preferred,0.9420000000000001
84,0.238,0.741,Other items,0.503
85,0.49,0.804,Minority-preferred,0.31400000000000006
86,0.301,2.249,Other items,1.9480000000000002
87,0.364,1.621,Other items,1.2570000000000001
88,0.49,2.06,Other items,1.57
89,0.49,2.374,Minority-preferred,1.8840000000000001
90,0.553,2.186,Minority-preferred,1.633
91,0.364,0.427,Other items,0.063
92,0.301,2.123,Other items,1.8220000000000003
93,0.364,2.374,Minority-preferred,2.0100000000000002
94,0.176,0.615,Other items,0.439
95,0.176,1.809,Other items,1.633
96,0.176,2.123,Other items,1.9470000000000003
97,0.238,2.186,Other items,1.948
98,0.427,1.997,Other items,1.57
99,0.238,2.249,Other items,2.011
