item,competitive_oracle_price,oracle_slate_count,mle_price,item_type,abs_price_gap
0,1.123727272727273,11.0,1.055,Other items,0.06872727272727297
1,0.5278,10.0,1.558,Other items,1.0302
2,0.364,2.0,2.312,Other items,1.948
3,0.27579999999999993,5.0,2.123,Other items,1.8472000000000004
4,0.25375,4.0,2.5,Other items,2.24625
5,0.238,6.0,2.123,Other items,1.8850000000000002
6,0.21474999999999997,8.0,1.181,Other items,0.96625
7,0.207,6.0,1.935,Other items,1.728
8,0.17599999999999996,6.0,1.809,Other items,1.633
9,0.18288888888888885,9.0,1.495,Other items,1.3121111111111112
10,0.25425,4.0,0.301,Other items,0.046750000000000014
11,0.1937142857142857,7.0,2.374,Other items,2.1802857142857146
12,0.2073333333333333,6.0,1.935,Other items,1.7276666666666667
13,0.19309090909090906,11.0,0.678,Other items,0.48490909090909096
14,0.19666666666666666,3.0,2.5,Other items,2.3033333333333332
15,0.20388888888888884,9.0,1.746,Other items,1.5421111111111112
16,0.1915,4.0,2.06,Other items,1.8685
17,0.1915,4.0,1.746,Other items,1.5545
18,0.2008,5.0,0.05,Other items,0.1508
19,0.16888888888888887,9.0,1.495,Other items,1.3261111111111112
20,0.17599999999999996,8.0,0.741,Other items,0.5650000000000001
21,0.18277777777777776,9.0,0.741,Other items,0.5582222222222222
22,0.17574999999999996,4.0,0.929,Other items,0.7532500000000001
23,0.176,4.0,1.621,Other items,1.445
24,0.16888888888888884,9.0,1.558,Other items,1.3891111111111112
25,0.17599999999999996,7.0,1.621,Other items,1.445
26,0.18633333333333332,6.0,2.186,Other items,1.9996666666666667
27,0.17585714285714285,7.0,1.746,Other items,1.570142857142857
28,0.16969999999999996,10.0,2.437,Other items,2.2672999999999996
29,0.155,3.0,0.867,Other items,0.712
30,0.17585714285714285,7.0,1.369,Minority-preferred,1.193142857142857
31,0.17599999999999996,8.0,1.621,Other items,1.445
32,0.18839999999999996,10.0,1.369,Other items,1.1806
33,0.21349999999999997,10.0,2.123,Other items,1.9095000000000002
34,0.20079999999999995,5.0,2.437,Other items,2.2361999999999997
35,0.176,5.0,1.746,Other items,1.57
36,0.155,6.0,1.244,Other items,1.089
37,0.15499999999999997,9.0,1.432,Other items,1.277
38,0.15872727272727272,11.0,1.935,Other items,1.7762727272727274
39,0.176,4.0,1.244,Minority-preferred,1.068
40,0.2578461538461539,13.0,2.5,Minority-preferred,2.242153846153846
41,0.17585714285714285,7.0,1.997,Other items,1.8211428571428572
42,0.18362499999999998,8.0,1.997,Other items,1.8133750000000002
43,0.1445,12.0,1.935,Other items,1.7905
44,0.17599999999999996,6.0,2.374,Other items,2.198
45,0.3013333333333333,3.0,2.06,Other items,1.7586666666666668
46,0.19937499999999997,8.0,2.249,Other items,2.0496250000000003
47,0.18553846153846154,13.0,1.683,Minority-preferred,1.4974615384615384
48,0.6690000000000002,7.0,2.312,Minority-preferred,1.6429999999999998
49,0.1816363636363636,11.0,0.867,Other items,0.6853636363636364
50,0.913625,8.0,1.809,Minority-preferred,0.8953749999999999
51,0.16799999999999998,8.0,2.249,Other items,2.081
52,0.17018181818181816,11.0,1.055,Other items,0.8848181818181817
53,0.1445,6.0,0.867,Other items,0.7225
54,0.18209999999999998,10.0,2.437,Other items,2.2548999999999997
55,0.14736363636363634,11.0,1.495,Other items,1.3476363636363637
56,0.20990909090909088,11.0,1.495,Minority-preferred,1.2850909090909093
57,0.17027272727272724,11.0,0.992,Minority-preferred,0.8217272727272728
58,0.18966666666666662,9.0,1.495,Other items,1.3053333333333335
59,0.19666666666666666,3.0,0.992,Minority-preferred,0.7953333333333333
60,0.16888888888888887,9.0,0.867,Other items,0.6981111111111111
61,0.21512499999999996,8.0,2.437,Minority-preferred,2.221875
62,0.16549999999999995,12.0,1.306,Other items,1.1405
63,0.5840000000000001,2.0,2.123,Minority-preferred,1.5390000000000001
64,0.18988888888888886,9.0,1.181,Other items,0.9911111111111112
65,0.20737499999999998,8.0,1.683,Other items,1.475625
66,0.1634,5.0,0.301,Other items,0.1376
67,0.12875,4.0,1.746,Other items,1.61725
68,0.15799999999999997,14.0,1.181,Other items,1.0230000000000001
69,0.15709999999999996,10.0,1.306,Other items,1.1489
70,0.1758333333333333,6.0,2.5,Other items,2.3241666666666667
71,0.19924999999999998,8.0,2.5,Minority-preferred,2.30075
72,0.16025,4.0,1.432,Minority-preferred,1.27175
73,0.16685714285714284,7.0,2.123,Other items,1.9561428571428574
74,0.2117142857142857,7.0,1.997,Minority-preferred,1.7852857142857144
75,0.1758,5.0,0.867,Other items,0.6912
